date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:25:18	48297/48297	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/forms.html	D:/books/Materialize/materializecss.com/forms.html	(from )
07:25:19	44387/44387	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/icons.html	D:/books/Materialize/materializecss.com/icons.html	(from )
07:25:20	30001/30001	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/navbar.html	D:/books/Materialize/materializecss.com/navbar.html	(from )
07:25:21	14737/14737	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/pagination.html	D:/books/Materialize/materializecss.com/pagination.html	(from )
07:25:22	25011/25011	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/preloader.html	D:/books/Materialize/materializecss.com/preloader.html	(from )
07:25:23	21013/21013	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/carousel.html	D:/books/Materialize/materializecss.com/carousel.html	(from )
07:25:24	25146/25146	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/collapsible.html	D:/books/Materialize/materializecss.com/collapsible.html	(from )
07:25:25	18961/18961	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dialogs.html	D:/books/Materialize/materializecss.com/dialogs.html	(from )
07:25:26	17224/17224	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dropdown.html	D:/books/Materialize/materializecss.com/dropdown.html	(from )
07:25:26	19966/19966	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/media.html	D:/books/Materialize/materializecss.com/media.html	(from )
07:25:27	23250/23250	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/modals.html	D:/books/Materialize/materializecss.com/modals.html	(from )
07:25:28	14465/14465	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/parallax.html	D:/books/Materialize/materializecss.com/parallax.html	(from )
07:25:29	15480/15480	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/pushpin.html	D:/books/Materialize/materializecss.com/pushpin.html	(from )
07:25:31	15084/15084	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/scrollspy.html	D:/books/Materialize/materializecss.com/scrollspy.html	(from )
07:25:31	17580/17580	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/scrollfire.html	D:/books/Materialize/materializecss.com/scrollfire.html	(from )
07:25:32	20404/20404	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/side-nav.html	D:/books/Materialize/materializecss.com/side-nav.html	(from )
07:25:33	19654/19654	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/tabs.html	D:/books/Materialize/materializecss.com/tabs.html	(from )
07:25:34	15873/15873	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/transitions.html	D:/books/Materialize/materializecss.com/transitions.html	(from )
07:25:34	17808/17808	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/waves.html	D:/books/Materialize/materializecss.com/waves.html	(from )
07:25:35	13717/13717	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/mobile.html	D:/books/Materialize/materializecss.com/mobile.html	(from )
07:25:36	19317/19317	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/showcase.html	D:/books/Materialize/materializecss.com/showcase.html	(from )
07:25:37	17893/17893	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/about.html	D:/books/Materialize/materializecss.com/about.html	(from )
07:25:38	113/113	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/robots.txt		(from )
